date,name,group,impact,description
2009-05-19, the Ministry of Industry and Information Technology informed that the computer produced and sold in China will be pre-installed with the Internet filtering software “Green Dam·Flower Season Escort” from July 1st. On June 30th, it was announced that it will suspend execution and intervene in the Internet market. 2, Wikipedia https://archive.vn/P5Sy6
2009-06-18, "Google China" was interviewed by the "Focus Interview" and interviewed by the relevant departments, intervening in the Internet market, 5, Wikipedia archive https://archive.li/mRWkr
2009-12-15, more than 20 large companies such as Google have been attacked by complex Internet attacks from China, intervening in the Internet market, 5, https://googleblog.blogspot.com/2010/01/new-approach-to -china.html
2012-11-09, Google.com and its subdomains were polluted by DNS for 12 hours, digital surveillance and wall, 2, https://zh.greatfire.org/blog/2012/nov/google-unblocked-again-was- It-mistake-or-test
2014-06-02, all Google services are affected by GFW, digital surveillance and wall, 5, https://archive.md/eZ5hm; https://archive.is/eZ5hm
2013-05-04, the Central Organization Department, the Central Propaganda Department and the Ministry of Education Party Group released a total of 16 articles on "Reinforcing and improving the ideological and political work of young teachers in colleges and universities" to combat academic freedom, 5, related reports https ://archive.li/fX3yL;https://web.archive.org/web/20190621131202/http://www.gov.cn/gzdt/2013-05/27/content_2412217.htm
2017-06-16, the Central Discipline Inspection Commission criticized 14 universities for their ideology work, cracking down on academic freedom, 5, Financial Times related reports http://archive.is/eCm7k; Xinhuanet http://archive.is/I62VZ
2018-01-10, pass on the ideology political review of Tsinghua University graduates to combat academic freedom, 1, RFA report https://archive.is/0W0sj
2019-04-16, colleges and universities collect student WeChat Weibo materials to combat academic freedom, 1, http://kzg.io/gb3jRv; http://archive.is/LIwGN
2015-07-27, "Innovative Plan for the Construction of Ideological and Political Theory Courses in Colleges and Universities"<br>Proposed the establishment of a national key Marxist college to combat academic freedom, 5, https://archive.li/cDIe0
2016-01-20, the Central Propaganda Department and the Ministry of Education announced the list of the first batch of national key Marxist colleges.<br>The universities of Peking University, Tsinghua University, NPC, Nankai, Jida, Fudan, Shanda, Wuda and Lanzhou will fight against academic freedom. , 5, https://archive.li/9QdKn; https://archive.li/Bf86L
2017-03-12, the Central Propaganda Department and the Ministry of Education announced the second batch of national key Marxist colleges.<br>Beijing Normal University, Dalian Polytechnic, Northeast Normal University, China Normal University, Nanda University, Zhejiang University, Fujian Normal University, <br> Zhengzhou University, Zhongshan University, Sichuan University, Xi'an Jiaotong University, Xinjiang Normal University, combating academic freedom, 5, https://archive.li/3NGlh; https://archive.li/9QdKn; https://archive.li/ Bf86L; https://archive.fo/urUie
2017-10-27, more than 20 colleges and universities such as the National People's Congress established the "Ideology" Institute to combat academic freedom, 5, RFA report https://archive.li/sDxR6
2019-06-19, On the 17th， the female singer Zeng Yike was angry and said that he was killed by a border inspector at the Capital Airport. <br>19th early, Ziguangge, the Communist Youth League Central Committee, the Ministry of Public Security, the State Administration of Immigration, <br>People’s Daily , CCTV news, legal daily newspapers and other blue V Qi name, cultural and cultural entertainment, 2, https://archive.li/ve1CU; https://archive.li/J80QY
2009-09-25, Sina Weibo is fully functional, before the August 14th beta, major historical events, 5, Wikipedia https://archive.li/JYrMd
2011-01-21, Tencent launched WeChat, major historical events, 5, Wikipedia https://archive.li/TuSF5
2011-01-26, Q&A website Zhihu.com came online, major historical events, 5, Wikipedia https://archive.li/kUN2t
2007-06-06, video site AcFun.cn online, major historical events, 5, Wikipedia https://en.wikipedia.org/zh-hans/AcFun
2010-01-24, A station user Xu Yi (ID: 9bishi) renamed MIKUFANS to Bilibili, major historical events, 5, Wikipedia https://en.wikipedia.org/zh-hans/Bilibili
2019-04-12, at the request of the competent department of the network letter, the snowball suspended the comment function for one week, <br>the book suspended the update of the PC-side content for one week, intervened in the Internet market, 5, 澎湃 news https://archive.li/8qhPo
2012-03-31, ByteDance created and launched "connotation paragraph"<br>Augmented launch of "Today's headlines" in August, major historical events, 5, Wikipedia https://archive.li/6KpcT
2018-04-10, "Connotation of the Confucius" was ordered by the SARFT to be permanently shut down and interfered with the Internet market due to "prominent problems such as misleading orientation and low-profile style". 5, Wikipedia https://archive.li/6KpcT
2016-09-30, "Vibrot" TikTok hatched by ByteDance, major historical events, 5, Wikipedia https://archive.li/SDxjv
2016-04-28, the National People's Congress passed the "Regulations on the Management of Domestic Activities of Foreign NGOs", the Party and Personnel Organization, 5, https://zh.wikipedia.org/zh-hans/%E4%B8%AD%E5%8D %8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E5%A2%83%E5%A4%96%E9%9D%9E %E6%94%BF%E5%BA%9C%E7%BB%84%E7%BB%87%E5%A2%83%E5%86%85%E6%B4%BB%E5%8A%A8%E7 %AE%A1%E7%90%86%E6%B3%95
2015-09-28, China Office issued the "Opinions on Strengthening the Party Building Work of Social Organizations (Trial)" Party Building Full Coverage, Party and Personnel Organization, 5, http://www.xinhuanet.com//politics /2015-09/28/c_1116702753.htm
2012-07-17, Beijing Carrefour as the first foreign enterprise to establish a party branch, the Youth League Committee, the party group personnel organization, 5, People's Daily https://archive.li/vsrBZ
2018-06-15, the CSRC announced that listed companies must set up party branches, party and personnel organizations, 5, https://archive.li/L7gjZ
2018-11-25, the Central Committee of the Communist Party of China issued the "Regulations on the Work of the Communist Party of China (Trial)", the personnel organization of the party group, 5, https://web.archive.org/web/20190623021359/http://www.gov.cn/ Zhengce/2018-11/25/content_5343236.htm
2015-06-29, 2014, 53.1% of non-public enterprises set up party organizations<br>41.9% of social organizations set up party organizations, party and personnel organizations, 5, https://archive.li/mteOV
2016-06-30, 2015, 51.8% of non-public enterprises set up party organizations <br>41.5% of social organizations set up party organizations, party organizations and personnel organizations, 5, https://archive.li/q45JG
2018-06-30, in 2017, 73.1% of non-public enterprises set up party organizations in the country<br>61.7% of social organizations set up party organizations, party organizations and personnel organizations, 5, https://archive.li/CGQEW
2017-06-30, 2016, 67.9% of non-public enterprises set up party organizations<br>58.9% social organizations set up party organizations, party groups and personnel organizations, 5, https://archive.li/Up5QJ
2014-06-30, 2013, 58.4% of non-public enterprises set up party organizations<br>41.9% of social organizations set up party organizations, party organizations and personnel organizations, 5, https://archive.li/NZSvQ
2016-12-30, as of the end of 2016, nearly 70% of foreign companies have appeared in the party branch, party and personnel organizations, 5, https://archive.li/L7gjZ
2018-12-14, Mao Yuzhen accepted the VOA interview and said that "the current trend of communist <br> has passed, and I don't want to stay in the party anymore. There are many ideas among the intellectuals." Organization, 5, https://www.cna.com.tw/news/acn/201812150102.aspx
2008-01-10, 77.86 million people in 19 provinces along the Yangtze River Basin and Xinjiang Production and Construction Corps were affected by snowstorms, major historical events, 5, http://web.archive.org/web/20140221205732/http://news.xinhuanet. Com/newscenter/2008-02/01/content_7545782.htm
2008-12-15, Implementation of direct three-way passenger aircraft, ships and letters on both sides of the mainland and Taiwan, major historical events, 5, http://web.archive.org/web/20081218074727/http://news.xinhuanet.com /newscenter/2008-12/15/content_10509761.htm
2009-06-26, Liu Xiaobo was officially arrested in Beijing for “smuggling crimes” and rectified the liberal community. 5, http://web.archive.org/web/20170113141137/http://news.bbc.co .uk/chinese/simp/hi/newsid_8110000/newsid_8116000/8116019.stm
2009-07-17, the Commonwealth Law Research Center was banned by the Beijing Municipal Civil Affairs Bureau to rectify the liberal community, 5, http://web.archive.org/web/20111201063140/http://www.rfi.fr/ Actucn/articles/115/article_14915.asp
2000-06-05, Huang Qi, the founder of "June 4 Skynet", was arrested for the first time in the "smuggling crimes" <br>, rectifying the liberal community, 5, https://zh.wikipedia.org/wiki/ %E9%BB%84%E7%90%A6
2008-06-10, Huang Qi, the founder of "June 4 Skynet", was arrested for the second time by "illegal holding <br>with state secrets" to rectify the liberal community, 5, https://en.wikipedia.org/ Wiki/%E9%BB%84%E7%90%A6
2016-12-16, Huang Qi, founder of "June 4 Skynet", was arrested for the third time to "provide state secrets for overseas <br> illegally, rectifying the liberal community, 5, https://en.wikipedia.org /wiki/%E9%BB%84%E7%90%A6
2009-03-28, Sichuan activist Tan Zuoren was arrested by Chengdu Public Security<br>On February 9, 2010, he was sentenced to 5 years in prison for “smuggling crimes” and rectified the liberal community. 5, Wikipedia https:/ /archive.ph/uNCh2
2014-06-13, Wei Zhiqiang, a rights lawyer, was arrested by the Beijing Municipal Public Security Bureau for “seeking troubles” and rectified the liberal community. 5, Wikipedia https://archive.ph/077Dx
2010-04-30, Opening of the Shanghai World Expo, major historical events, 5, https://archive.ph/thYWg
2009-10-01, Uighur intellectual Gheyret Niyaz <br>After arrested and sentenced to 15 years in July 2010 for crimes against national security, rectify the liberal community, 5, https: //archive.li/FkWJv
2010-08-23, "National People's Congress and Local People's Congress Appraisal Law Amendment (Draft)" <br>The representative shall not set up a personal studio, may not leave the production job, rectify the liberal community, 5, https: / /zh.wikipedia.org/wiki/2010%E5%B9%B4%E4%B8%AD%E5%9B%BD%E5%A4%A7%E9%99%86
2011-04-03, Ai Weiwei was suspected of economic crime investigation, rectification of the liberal community, 5, https://web.archive.org/web/20120203023538/http://www.ibtimes.com.cn/articles/20110407 /aiweiwei.htm
2011-05-16, "Seeking Truth": Social management can not fall into the "civil society" trap, rectify the liberal community, 5, http://web.archive.org/web/20110521052859/news.163.com/ 11/0517/07/7487CPEI0001124J.html
2011-06-08, the National People's Congress responded to the self-recommendation of many citizens: <br>"Independent candidates" have no legal basis to rectify the liberal community, 5, http://web.archive.org/web/20190613143026/ Https://news.qq.com/a/20110609/000036.htm
2011-08-27, the Ministry of Culture cleaned up 300 illegal online music called cultural security, cultural and cultural entertainment, 5, http://web.archive.org/web/20110829124500/http://news.qq.com/a /20110828/000115.htm
2011-09-14, in addition to CCTV, Taiwanese artists disappeared from major TV programs, cultural and cultural entertainment, 5, http://web.archive.org/web/20190602190633/http://ent.sina.com.cn/ v/m/2011-09-15/11183416870.shtml
2016-02-01, the People's Liberation Army established the 5 major theaters in replacement of the 7 major military regions, major historical events, 5, http://web.archive.org/web/20160320025247/http://news.cntv.cn/2016/ 02/01/VIDEmJUXFKs1tVgd6WkVJVaK160201.shtml
2016-02-22, Ren Zhiqiang was criticized by Weibo for the “Party Media Name Party” and was criticized by the Internet Office and the official media to rectify the liberal community. 5, https://en.wikipedia.org/zh-hans/%E4 %BB%BB%E5%BF%97%E5%BC%BA%E6%89%B9%E8%AF%84%E5%85%9A%E5%AA%92%E5%A7%93%E5%85 %9A%E4%BA%8B%E4%BB%B6
2017-01-23, the Ministry of Industry and Information Technology announced that it began to crack down on the "illegal operation" of the proxy server, Digital Surveillance and Wall, 5, https://web.archive.org/web/20170125163620/http://www.bbc.com/zhongwen/ Simp/chinese-news-38714639
2017-01-25, "China National Defense News" agrees to boycott Hong Kong singer Zhang Jingxuan<br>Initiative to deal with "Hong Kong and Taiwanese artists who are insulting China", cultural and cultural entertainment, 5, https://web.archive.org/web /20170125081619/http://www.bbc.com/zhongwen/simp/chinese-news-38740959
2017-03-01, the "Film Industry Promotion Law" officially requires the star Deyi Shuangxin, cultural and cultural entertainment, 5, https://web.archive.org/web/20170301001136/http://ent.sina.com .cn/m/c/2017-03-01/doc-ifyavvsh7217538.shtml
2017-04-01, the Central Committee of the Communist Party of China and the State Council decided to set up the “XiongAn New District”, major historical events, 5, https://web.archive.org/web/20170402081331/http://politics.people.com.cn/ N1/2017/0401/c1001-29185929.html
2017-03-19, Taiwanese Li Mingzhe was arrested by the Hunan provincial security authorities for alleged “smuggling crimes”, rectifying the liberal community, 5, https://zh.wikipedia.org/wiki/%E6%9D%8E%E6 %98%8E%E5%93%B2%E4%BA%8B%E4%BB%B6
2017-06-22, Sina Weibo, A station and Phoenix network audiovisual programs were shut down, intervening in the Internet market, 5, https://web.archive.org/web/20170622121917/http://news.ifeng.com /a/20170622/51302094_0.shtml
2017-07-31, the Communist Youth League Central Station settled in Netease Music, Setup Social Media Outlet, 5, https://archive.vn/BF6Si
2017-12-20, Guangxi Nanping County Wu Xiangyang was sentenced to 5 years in June for providing paid VPN services <br>fine 500,000 yuan, digital surveillance and wall, 5, https://web.archive.org/web/20171222220048 /http://news.youth.cn/sh/201712/t20171221_11183885.htm
2018-01-27, Sina Weibo hot search list was denied by the Internet, and it was illegal to stop and rectify the Internet market, 5, https://archive.li/PvFCz
2018-02-14, the General Administration of Radio, Film and Television noticed that the online audio-visual live answering event <br>not to spread content that does not conform to the socialist core values, intervene in the Internet market, 5, https://archive.li/HiRkE
2018-03-18, knowing that 52 people from Zhou Yuan and Mi Meng attended the theoretical seminar of the United Front Department and intervened in the Internet market, 5, https://archive.vn/CXX09
2018-03-22, SARFT urgently blocked the spoof and secondary creation of online video and other audio-visual programs, intervening in the Internet market, 5, https://archive.vn/22viu
2018-04-03, China publishes a white paper on religious beliefs. The website completely bans the Bible, cultural and cultural entertainment, 5, https://archive.vn/XXF2E
2018-04-06, “Quick Hand” urgent expansion of 3000 auditors<br>The person in charge was interviewed by the management department on the 4th, intervening in the Internet market, 5, https://archive.vn/pv5cF
2018-05-17, "Runaway Comic" account is suspected of "insulting the heroic" <br> video program off the assembly line, multiple apps shut down indefinitely, intervening in the Internet market, 5, https://archive.vn/7K4xM
2018-06-18, the Central Military Commission issued the "Implementation of the Red Gene Implementation Outline", the party group personnel organization, 5, https://archive.li/bCZwc
2018-07-11, Qin Yongmin, founder of the China Democracy Party, sentenced him to 13 years in prison for "smuggling crimes" and rectified the liberal community, 5, https://archive.li/GjnIi
2018-09-20, the State Administration of Radio, Film and Television launched "limitation", cultural and cultural entertainment, 5, https://archive.li/eyXOs
2018-09-22, Yiyang City College of Hunan Province, on the grounds of publishing dissatisfied speech, <br>cancel the admission qualification of freshman Wang Dong, combat academic freedom, 3, https://archive.li/G1ybx
2018-12-07, the Central Games Department's online game ethics committee was formally established in Beijing, intervening in the Internet market, 5, https://archive.li/2jZho
2018-12-15, Langfang, Hebei, issued a Christmas decoration ban, cultural and cultural entertainment, 5, https://archive.li/KoPOw
2019-06-26, the net biography Li Keqiang is located in the 77th-level law department Wechat group of Peking University, <br>Tencent deputy general reply "is the above order, we can not solve.", digital surveillance and wall, 2, law wide report https: //archive.li/Sc4IK
2019-05-05, Central Document: Full implementation of the village party organization secretary through the legal procedures as the director of the village committee, the party group personnel organization, 5, https://archive.li/bfAYD
2014-11-07, Wuhan University requires five types of personnel to hand in private passport passes: <br>1 research project secret personnel; <br>2 middle school deputy and above; <br>3 participating public management personnel; Br>4 Among the incumbents, there are deputy senior professional and technical positions and above, <br> deputy level and above non-leadership staff, level 6 and above <br> staff, doctoral degree holders, financial personnel; <br>5 Departure (return) hall (bureau) level cadres, party and personnel organizations, 5, https://archive.fo/tYHsj
2014-11-28, South-Central University for Nationalities requires eight types of personnel to submit passport passes: <br>1. The school is in the vocational school, department-level cadres (including those who enjoy the level of treatment); <br>2. Cadres at or above the deputy department level; <br>3. On-the-job professional and technical personnel with senior professional titles; <br>4. Incumbents with Ph.D.; <br>5. Personnel undertaking important scientific research projects; <br>6. Financial management personnel; <br> 7. Personnel involved in school asset security and confidentiality; <br>8. The school believes it is necessary to register other personnel for the record. , party group personnel organization, 5, https://archive.md/2McKZ
2015-06-19, People's Network: Beijing “tighten” department-level civil servants abroad. Passport unified security cabinet, party group personnel organization, 5, https://archive.md/2jzXL
2018-10-01, local notices are issued to require primary and secondary school teachers to submit private passport passes, party and personnel organizations, 4, https://archive.md/KIs1K
2016-10-19, Xinjiang Shihezi informed local residents to hand in their passports, which were kept by the public security, party and personnel organizations, 4, https://archive.md/DDB9O
2017-06-13, Xinhuanet Tianjin strict management cadres go abroad for private reasons: the staff is limited to one time each year, the party personnel organization, 5, https://archive.md/mQjEb
2016-03-01, Chengdu University requires senior lecturers to hand in passports. Applications for going abroad must be promised not to “leak secrets”, party and personnel organizations, 4, https://archive.md/LvVUh
2019-02-08, China's collection of passport restrictions within the system of personnel exit, <br> target population extended to teachers and medical staff, party and personnel organizations, 4, https://archive.md/9BRuL
2014-03-16, Notice of the Organization Department of the Central Committee of the Communist Party of China on Further Strengthening the Management and Supervision of Leading Cadres Going Abroad<br>(Boundary), Party and Personnel Organization, 5, https://archive.vn/bEIXl
2013-07-03, Zhongfafa [2013] No. 16 on further standardizing the opinions of the state-level staff below the provincial and ministerial level, the party personnel organization, 5, https://archive.md/HEJLo
2004-12-16, the Central Commission for Discipline Inspection of the CPC Central Committee, the Organization Department of the CPC Central Committee, the Ministry of Foreign Affairs, the Ministry of Public Security, the Ministry of National Security, the Ministry of Supervision, the Ministry of Personnel, and the Ministry of Commerce to further strengthen the management of party members and cadres abroad. Notice, Party and Personnel Organization, 5, http://web.archive.org/web/20140324195241/http://cpc.people.com.cn/GB/64162/71380/102565/182145/11001085.html
2015-04-09, Group Tongzi [2015] No. 20 Notice of the Organization Department of the Central Committee of the Communist Party of China and the Ministry of Public Security on the implementation of violations and the special management of documents for private travel abroad, party and personnel organizations, 5, https:/ /web.archive.org/web/20190629012313/http://www.bjb.cas.cn/gzzd2016/rsczzb2016/201507/W020150702450171008435.pdf
2019-06-28, the National Network Information Office concentrated on the network audio special rectification, Netease cloud music, <br>Litchi FM, Penguin FM, Himalayan and other 26 sound applications <br>Because of public order or historical nihilism was removed, culture Literature and Entertainment, 5, Internet News http://archive.md/cgezH; report http://archive.md/u9WxW
2019-07-04, Hubei Province, the discipline inspection and supervision team leader was doubled, including rare charges: purchase, <br> reading distortions and attacks on the party's 18th organization route, cadre policy books, <br> against four WeChat articles, pictures and small videos of serious political issues such as basic principles, not reporting, not resisting, not fighting, and forwarding to others, <br>causing adverse effects, party and personnel organizations, 4, Sina https:// archive.li/AZbGX; Netease https://archive.li/u8E1G
2019-06-19, the network of China's Yiyang City, the Office of the Office of the letter issued the "Notice on the development of online celebrity account mapping", digital monitoring and wall, 1, https://archive.li/D3DMQ
2019-05-30, the mainland China agent for the allegedly insulting game "Devotion"<br>Shanghai Indyvent has revoked its business license for "National Security", cultural arts and entertainment, 5, Hong Kong 01 https //archive.is/Q4Meu; Wikipedia https://archive.md/twLQw
2019-03-04, Dutch net security researcher blew the CCP to collect and monitor the national privacy certificate.<br>The system has processed about 360 million online personal resources every day since 2018, users are connected to the real identity<br> and sent to the local police every day. System Processing, Digital Surveillance and Wall, 5, https://archive.is/mKxtv
2019-06-21, the Ministry of Education has ordered the suspension of secondary school students to study in the United States since 2020<br>Advanced Placement (AP) in the history test center of the Chinese test center, <br>Affected subjects are: American history, world History, European History, Human Geography <br> Other subjects are temporarily unaffected, combating academic freedom, 5, Reuters https://archive.li/EpkqG
2019-07-09, the WeChat public number of the 2 million fans, "Da Tang Leiyin Temple" was sealed, "Da Tang Leiyin Temple" is a talk show hosted by Liang Hongda, intervening in the Internet market, 5, https://archive.md/Jb9rH
2013-10-11, Xi Jinping wants the party and government departments at all levels to understand the great significance of the "Fengqiao experience" in the process of social comprehensive governance, inherit the fine traditions, and innovate the mass work methods and implement the CCP's mass line. . <br>"Maple Bridge Experience" is common in the CCP's stability work 90 years later, the party group personnel organization, 4, BBC Chinese https://archive.li/uq22L; Wikipedia https://archive.li/fvilB; https:/ /web.archive.org/web/20190714114025/http://www.gov.cn/ldhd/2013-10/11/content_2504878.htm
2018-11-12, People's Daily, CCTV and other mouthpieces have successively launched a commentator's article on the experience of Fengqiao <br> and the documentary "Adhere to the development of "Maple Bridge experience" - the road to modernization of China's grassroots social governance", party and personnel organization, 5, https://archive.li/OxZMr; https://archive.vn/0jZYq
2019-07-16, "Daily English Listening" and "Global Tiger Finance" were rectified by the Shanghai Netcom Office for violation of the news reports, intervening in the Internet market, 3, https://archive.md/5ssPC
2019-07-11, Xinhua News Agency China search released "Flower Search" APP, claiming to use <br>AI technology to block bad information such as violence, pornography and gambling, digital surveillance and wall, 5, https://archive.li /oem16
2019-07-16, the United States, the United States, the United States, the United States, the United States, the United States, the United States, the United States, the United States, the United States, the United States, the United States and the United States Problem <br>Seriously rectify and intervene in the Internet market, 3, https://web.archive.org/web/20190720043522/http://www.shdf.gov.cn/shdf/contents/767/402011.html
2019-07-18, Beijing public rental housing on a large-scale "brush face" home, is expected to arrive at the end of October 2019, involving 12 public rental housing 59 public rental housing <br> project face recognition system Will be fully operational, digital surveillance and wall, 3, https://archive.vn/aCeWT
2019-07-25, People's Network issued the first batch of Internet content risk controller certificate, the auditor became a formal occupation, intervening in the Internet market, 5, https://web.archive.org/web/20190728055014/http://media. People.com.cn/n1/2019/0725/c40606-31254458.html
2019-07-29, Netcom Office: In the second quarter, the national network information system talked about 648 websites <br>, warning 636 websites, suspended 56 websites, and closed 2899 illegal websites. Intervening in the Internet market, 5, https://archive.li/DR9h2
2018-05-17, the national network letter office opened a tender, requiring partners to use the overseas social media platform to carry out "online major theme publicity." The People’s Daily won the bid for 4.886 million yuan. , Setup Social Media Outlet, 5, BBC Chinese https://archive.li/vFkZ7
2019-08-19, the National Network Information Office once again publicly bidding, "Using overseas social media platform to carry out online major theme publicity." People’s Daily won the bid with RMB 5.8 million. , Setup Social Media Outlet, 5, BBC Chinese https://archive.li/vFkZ7
2019-06-21, the Information Department of the Ministry of Foreign Affairs of China has tendered a procurement project called “Domestic and Domestic Public Opinion Services” with a budget of RMB 3.385 million, Setup Social Media Outlet, 5, BBC Chinese https://archive.li/vFkZ7
2019-07-16, Zheng Wenfeng, associate professor of Chengdu University of Electronic Science and Technology, said that "the four inventions are not innovations", the school was suspended for two years to combat academic freedom, 5, https://web.archive.org/web/20190821193720/https:// news.ifeng.com/c/7pK5g7NNv1C
2019-08-19, Twitter and Facebook announced in succession that they blocked nearly 200,000 accounts on the platform by Chinese officials. These accounts spread false information about demonstrations in Hong Kong. , Setup Social Media Outlet, 5, BBC Chinese https://archive.li/m72aK
2019-08-12, the Cultural Revolution Model Reappears The People's Daily has published the first ten-day version of Xi Jinping's quotations, cultural and cultural entertainment, 3, RFA https://archive.vn/xoo0X
2019-07-30, Shaanxi Provincial Patriotism Volunteers Association recruited Chinese patriotism volunteers to monitor the social media, 2, https://archive.fo/y0KHg
2019-07-29, the State Administration of Radio, Film and Television issued the "Notice on Doing a Good Job to Celebrate the 70th Anniversary of the Founding of the New China TV Show" <br>: It is planned that it will not broadcast a more entertaining costume drama, idol drama, intervening in the Internet from August Market, 3, https://archive.vn/jvjku
2019-08-18, more than 1.7 million people from Hong Kong participated in the Victoria Park rally. The appeal was "Implement the five major demands, stop violent police disrupting Hong Kong ", major historical events, 4, https://web.archive.org/web/20190829061919/ Https://theinitium.com/article/20190818-whatsnew-hk-818-assembly-be-water/
2019-07-28, Huainan City Public Security Bureau issued a police report, comic author Zhang Ning (Oatol Dolphin) was arrested for using the "Pig Head" series of comics to insult China. , rectification of the liberal community, 1, https://archive.md/B1ZFW
